经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京大兴芳源里,89,芳源里,大兴,320,56970,1室1厅1厨1卫,高楼层 (共6层),56.17,平层,49.97,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,无,70年,2018/6/29,商品房,2018/6/21,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京大兴保利首开熙悦春天,90,保利首开熙悦春天,大兴,385,39971,4室1厅1厨2卫,高楼层 (共26层),96.32,暂无数据,71.43,板塔结合,南 北,钢混结构,简装,两梯四户,集中供暖,有,70年,2019/11/2,商品房,2018/9/13,普通住宅,未满两年,非共有,有抵押 100万元 公积金 客户偿还,已上传房本照片
北京西城荣丰2008,91,荣丰2008,西城,1460,91199,3室2厅1厨2卫,高楼层 (共16层),160.09,平层,132.06,塔楼,西南,钢混结构,精装,两梯四户,自供暖,有,70年,2019/10/5,商品房,2008/3/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳柏林爱乐四期,92,柏林爱乐四期,朝阳,368,54624,1室1厅1厨1卫,中楼层 (共11层),67.37,平层,55.87,板楼,西,钢混结构,精装,一梯四户,集中供暖,有,70年,2019/10/25,商品房,2008/12/3,普通住宅,满五年,非共有,有抵押 160万元,已上传房本照片
北京西城相来家园,93,相来家园,西城,1400,141044,2室1厅1厨2卫,中楼层 (共14层),99.26,平层,81.62,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019/11/30,商品房,2015/6/30,普通住宅,满两年,非共有,有抵押 240万元 北京银行股份有限公司双秀支行 客户偿还,已上传房本照片
北京东城望陶园小区,94,望陶园小区,东城,765,57043,3室1厅1厨1卫,低楼层 (共18层),134.11,平层,108.19,塔楼,东南,钢混结构,简装,两梯八户,集中供暖,有,70年,2017/3/12,商品房,1999/12/9,普通住宅,满两年,共有,无抵押,已上传房本照片
北京东城太华公寓,95,太华公寓,东城,698,63768,1室1厅1厨2卫,中楼层 (共18层),109.46,平层,77.16,塔楼,西南,钢混结构,精装,三梯十七户,集中供暖,有,70年,2018/12/7,商品房,2008/9/9,公寓,满五年,非共有,有抵押 240万元 招商银行 客户偿还,已上传房本照片
北京西城丽水莲花,96,丽水莲花,西城,2300,105268,4室2厅1厨3卫,顶层 (共19层),218.49,平层,183.03,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,70年,2019/9/28,商品房,2011/3/10,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀半导体宿舍,97,半导体宿舍,海淀,579,93842,2室1厅1厨1卫,中楼层 (共6层),61.7,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019/12/5,央产房,2016/6/6,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京门头沟冯村嘉园二区,98,冯村嘉园二区,门头沟,480,37556,3室1厅1厨1卫,顶层 (共6层),127.81,平层,113.15,板楼,东 南 北,混合结构,其他,一梯两户,集中供暖,无,70年,2019/10/6,商品房,2005/11/1,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山远洋山水,99,远洋山水,石景山,945,67957,3室2厅1厨2卫,顶层 (共27层),139.06,平层,111.42,塔楼,西南,钢混结构,精装,两梯五户,集中供暖,有,70年,2018/3/10,商品房,2014/4/1,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京海淀五矿万科如园,100,五矿万科如园,海淀,2550,97507,4室3厅1厨3卫,低楼层 (共11层),261.52,平层,225.18,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2018/6/21,商品房,2018/7/3,普通住宅,未满两年,非共有,有抵押 800万元 客户偿还,已上传房本照片
北京西城白纸坊西街,101,白纸坊西街,西城,695,93377,2室1厅1厨1卫,中楼层 (共16层),74.43,平层,53.14,塔楼,西南,混合结构,其他,两梯八户,集中供暖,有,70年,2019/3/12,商品房,2016/4/7,普通住宅,满两年,非共有,暂无数据,已上传房本照片
北京海淀翠微中里,102,翠微中里,海淀,750,93985,3室1厅1厨1卫,低楼层 (共21层),79.8,平层,暂无数据,塔楼,西南,钢混结构,简装,两梯九户,集中供暖,有,70年,2019/6/8,商品房,2009/8/25,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山西山枫林一二期,103,西山枫林一二期,石景山,559,48483,3室2厅1厨2卫,中楼层 (共10层),115.3,平层,暂无数据,板楼,南 西 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019/3/29,一类经济适用房,2009/1/23,普通住宅,满五年,非共有,有抵押 300万元 业主自还,已上传房本照片
北京大兴富力丹麦小镇,104,富力丹麦小镇,大兴,877,35072,7室2厅1厨4卫,底层 (共3层),250.06,null,239.22,null,南 北,钢结构,精装,null,自供暖,null,70年,2018/12/21,商品房,2018/7/24,别墅,未满两年,非共有,无抵押,已上传房本照片
北京昌平郝庄家园东区,105,郝庄家园东区,昌平,255,27532,3室1厅1厨2卫,中楼层 (共6层),92.62,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/3/25,商品房,2002/7/29,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴鸿坤理想城大满贯,106,鸿坤理想城大满贯,大兴,285,44587,1室1厅1厨1卫,中楼层 (共18层),63.92,平层,43.26,塔楼,东北,钢混结构,精装,三梯十一户,集中供暖,有,70年,2019/12/2,商品房,2012/9/27,普通住宅,满五年,非共有,有抵押 30万元 建设银行 客户偿还,已上传房本照片
北京丰台鸿业兴园一区,107,鸿业兴园一区,丰台,850,64674,3室2厅1厨2卫,高楼层 (共21层),131.43,平层,106.7,塔楼,西南,钢混结构,精装,两梯八户,自供暖,有,70年,2019/5/22,商品房,2011/11/1,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴隆盛园,108,隆盛园,大兴,179,21635,2室2厅1厨1卫,顶层 (共6层),82.74,平层,73.01,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/5/7,商品房,2017/6/7,普通住宅,满两年,非共有,有抵押 80万元 廊坊银行 客户偿还,已上传房本照片
北京门头沟三家店东街8号院,109,三家店东街8号院,门头沟,210,28117,2室1厅1厨1卫,顶层 (共6层),74.69,平层,暂无数据,板楼,南 北,混合结构,毛坯,一梯两户,集中供暖,无,70年,2019/3/4,已购公房,1997/3/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城华普花园,110,华普花园,东城,1480,73952,3室1厅1厨3卫,高楼层 (共22层),200.13,平层,152.36,塔楼,东北,钢混结构,其他,四梯六户,集中供暖,有,70年,2019/8/16,商品房,2012/10/30,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山北潞芳家园,111,北潞芳家园,房山,240,28123,2室1厅1厨1卫,顶层 (共6层),85.34,平层,75.39,板楼,南 北,钢混结构,简装,一梯两户,自供暖,无,70年,2019/4/27,商品房,2016/11/1,普通住宅,满两年,非共有,有抵押 93万元 客户偿还,已上传房本照片
北京石景山翠谷玉景,112,翠谷玉景,石景山,398,54305,1室1厅1厨1卫,底层 (共6层),73.29,平层,暂无数据,板楼,东 西 北,钢混结构,精装,一梯三户,集中供暖,无,70年,2019/11/22,商品房,2013/4/10,普通住宅,满五年,共有,无抵押,已上传房本照片
北京东城官书院,113,官书院,东城,1170,118170,2室2厅1厨2卫,中楼层 (共6层),99.01,平层,84.99,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2018/11/4,商品房,2003/9/25,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京西城西便门西里,114,西便门西里,西城,820,101435,3室1厅1厨1卫,高楼层 (共14层),80.84,平层,55.61,板塔结合,东 西,钢混结构,精装,一梯六户,集中供暖,有,70年,2018/7/12,已购公房,2003/10/29,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山天恒乐墅,115,天恒乐墅,房山,1100,58922,4室2厅1厨3卫,中楼层 (共4层),186.69,复式,168.49,暂无数据,南 北,钢混结构,精装,一梯两户,集中供暖,暂无数据,70年,2019/11/9,商品房,2019/7/19,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京西城扣钟北里,116,扣钟北里,西城,820,124621,2室1厅1厨1卫,中楼层 (共20层),65.8,平层,46.5,塔楼,西北,钢混结构,精装,两梯八户,集中供暖,有,70年,2019/11/23,商品房,2013/9/11,普通住宅,满五年,非共有,有抵押 中国光大银行股份有限公司北京望京支行 业主自还,已上传房本照片
北京海淀王致和腐乳厂宿舍,117,王致和腐乳厂宿舍,海淀,478,69376,3室1厅1厨1卫,中楼层 (共5层),68.9,平层,暂无数据,板楼,北 南,混合结构,简装,一梯两户,集中供暖,无,70年,2019/8/19,已购公房,2019/11/25,普通住宅,未满两年,非共有,无抵押,已上传房本照片
北京通州在水一方,118,在水一方,通州,540,42919,3室2厅1厨1卫,高楼层 (共11层),125.82,平层,103.47,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,2019/11/18,商品房,2005/8/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴保利首开熙悦春天,119,保利首开熙悦春天,大兴,308,37073,2室1厅1厨1卫,高楼层 (共27层),83.08,平层,61.25,板塔结合,南,钢混结构,简装,两梯四户,集中供暖,有,70年,2019/10/19,商品房,2017/8/9,普通住宅,满两年,非共有,有抵押 110万元,已上传房本照片
北京丰台芳城园一区,120,芳城园一区,丰台,660,55000,3室1厅1厨2卫,高楼层 (共26层),120,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,三梯十户,集中供暖,有,70年,2019/9/7,商品房,2005/2/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳青年汇佳园,121,青年汇佳园,朝阳,400,69687,1室1厅1厨1卫,中楼层 (共20层),57.4,平层,暂无数据,塔楼,南,钢混结构,精装,两梯十二户,自供暖,有,70年,2019/9/15,商品房,2006/6/10,普通住宅,满五年,共有,无抵押,已上传房本照片
北京东城和平新城一期,122,和平新城一期,东城,1180,89178,2室2厅1厨2卫,高楼层 (共19层),132.32,复式,106.16,板塔结合,西,钢混结构,精装,三梯十户,自供暖,有,70年,2019/12/5,商品房,2015/2/15,普通住宅,满两年,非共有,有抵押 60万元 建设银行 业主自还,已上传房本照片
北京丰台怡海花园恒丰园,123,怡海花园恒丰园,丰台,699,58319,2室1厅1厨2卫,低楼层 (共22层),119.86,平层,暂无数据,塔楼,西南,钢混结构,简装,三梯八户,集中供暖,有,70年,2019/2/18,商品房,2016/12/20,普通住宅,满两年,非共有,有抵押 180万元,已上传房本照片
北京大兴福苑小区,124,福苑小区,大兴,223,32259,2室1厅1厨1卫,中楼层 (共6层),69.13,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/11/10,已购公房,2001/7/11,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴金地仰山东区,125,金地仰山东区,大兴,758,55285,3室2厅1厨2卫,中楼层 (共6层),137.11,平层,117.64,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2018/11/3,商品房,2012/11/2,普通住宅,满五年,共有,有抵押 80万元 建设银行 业主自还,已上传房本照片
北京门头沟中门花园良实家园,126,中门花园良实家园,门头沟,305,32617,2室1厅1厨1卫,底层 (共6层),93.51,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/9/19,商品房,2014/10/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山园林小区,127,园林小区,石景山,539,58151,2室1厅1厨1卫,中楼层 (共6层),92.69,平层,82.99,板楼,东 西,混合结构,精装,一梯两户,集中供暖,无,70年,2019/11/14,商品房,2008/6/16,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台马家堡西里,128,马家堡西里,丰台,310,55516,2室1厅1厨1卫,底层 (共6层),55.84,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2019/10/10,已购公房,2002/12/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山乐活家园,129,乐活家园,房山,260,31531,2室1厅1厨1卫,低楼层 (共6层),82.46,平层,68.44,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,40年,2018/1/11,商品房,2015/6/15,普通住宅,满两年,非共有,有抵押 53万元 客户偿还,已上传房本照片
北京门头沟三家店老宿舍17号院,130,三家店老宿舍17号院,门头沟,447,33589,3室2厅1厨2卫,中楼层 (共6层),133.08,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019/8/13,已购公房,2007/3/9,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台康泽园,131,康泽园,丰台,262,51474,1室1厅1厨1卫,底层 (共6层),50.9,平层,暂无数据,板楼,东 西,混合结构,其他,一梯两户,集中供暖,无,70年,2019/12/6,商品房,2002/11/25,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴远洋天著二期,132,远洋天著二期,大兴,830,49665,3室1厅1厨3卫,高楼层 (共9层),167.12,平层,139.78,板楼,南 北,钢混结构,简装,一梯两户,自供暖,有,70年,2018/7/12,商品房,2016/7/13,普通住宅,满两年,非共有,有抵押 300万元 金融公司垫资,已上传房本照片
北京海淀紫竹花园,133,紫竹花园,海淀,820,73039,2室2厅1厨2卫,中楼层 (共24层),112.27,平层,92.04,塔楼,东北,钢混结构,精装,三梯八户,集中供暖,有,70年,2019/11/6,商品房,2011/11/29,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城国瑞城中区,134,国瑞城中区,东城,700,100952,3室1厅1厨1卫,中楼层 (共16层),69.34,平层,55.27,板塔结合,东,钢混结构,精装,两梯八户,集中供暖,有,70年,2019/3/13,商品房,2012/12/13,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳天畅园,135,天畅园,朝阳,690,41104,2室1厅1厨2卫,中楼层 (共29层),167.87,平层,130.76,塔楼,东,钢混结构,精装,四梯六户,自供暖,有,70年,2019/9/11,商品房,2011/3/31,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴金融街融汇,136,金融街融汇,大兴,307,39588,2室1厅1厨1卫,高楼层 (共21层),77.55,平层,59.22,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,70年,2019/10/15,商品房,2017/2/27,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京通州中建红杉溪谷,137,中建红杉溪谷,通州,1280,61130,4室2厅1厨3卫,中楼层 (共4层),209.39,复式,161.45,暂无数据,南 北,钢混结构,其他,一梯两户,自供暖,有,70年,2019/7/28,商品房,2014/7/24,普通住宅,满五年,非共有,有抵押 400万元 工商银行 客户偿还,已上传房本照片
北京门头沟滨河路79号院,138,滨河路79号院,门头沟,170,39618,2室1厅1厨1卫,中楼层 (共6层),42.91,平层,暂无数据,板楼,东,混合结构,简装,一梯三户,集中供暖,无,70年,2019/12/5,已购公房,1995/7/19,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山雍景四季,139,雍景四季,石景山,818,56905,3室2厅1厨2卫,低楼层 (共19层),143.75,平层,暂无数据,板塔结合,南 北,钢混结构,简装,两梯三户,集中供暖,有,70年,2019/9/6,商品房,2010/10/26,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京大兴美然绿色家园,140,美然绿色家园,大兴,369,41932,2室1厅1厨1卫,中楼层 (共6层),88,平层,79.52,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,70年,2019/5/8,商品房,2016/3/14,普通住宅,满两年,非共有,有抵押 210万元 中信银行 客户偿还,已上传房本照片
北京西城清芷园,141,清芷园,西城,1370,97074,2室2厅1厨2卫,低楼层 (共15层),141.13,平层,114.48,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,70年,2019/11/24,商品房,2017/3/28,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京石景山御景山,142,御景山,石景山,650,42865,4室1厅1厨2卫,底层 (共19层),151.64,平层,122.57,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2019/5/24,商品房,2009/6/17,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京丰台右外22号院,143,右外22号院,丰台,328,63603,2室1厅1厨1卫,低楼层 (共6层),51.57,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/10/17,已购公房,2010/9/8,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟绿岛家园,144,绿岛家园,门头沟,245,36699,1室1厅1厨1卫,底层 (共6层),66.76,平层,59.51,板楼,南 北,混合结构,其他,一梯两户,自供暖,无,70年,2019/11/2,商品房,2012/1/5,普通住宅,满五年,共有,无抵押,已上传房本照片
北京房山碧桂园小区二区,145,碧桂园小区二区,房山,249,27754,2室1厅1厨1卫,中楼层 (共6层),89.72,平层,80.5,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,70年,2019/10/16,商品房,2014/12/31,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京石景山重兴园,146,重兴园,石景山,410,49909,2室1厅1厨1卫,中楼层 (共24层),82.15,平层,69.46,塔楼,西南,钢混结构,简装,两梯十户,集中供暖,有,70年,2019/11/23,商品房,2015/9/11,普通住宅,满两年,共有,有抵押 130万元,已上传房本照片
北京石景山八角北里,147,八角北里,石景山,353,46546,3室1厅1厨1卫,顶层 (共6层),75.84,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/11/23,已购公房,2008/10/20,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京朝阳红庙西里,148,红庙西里,朝阳,413,64927,2室1厅1厨1卫,高楼层 (共16层),63.61,平层,暂无数据,板楼,南,钢混结构,精装,一梯六户,集中供暖,有,70年,2019/8/7,商品房,2017/6/9,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京顺义双兴南区,149,双兴南区,顺义,275,36137,2室1厅1厨1卫,高楼层 (共6层),76.1,平层,暂无数据,板楼,南 北,混合结构,简装,一梯三户,集中供暖,无,70年,2019/12/4,已购公房,2005/4/6,普通住宅,满五年,共有,无抵押,已上传房本照片
