经纬度,id,小区名称,所在区域,总价（万元）,单价（元）,房屋户型,所在楼层,建筑面积（㎡）,户型结构,套内面积（㎡）,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
北京顺义港馨家园福景苑,73,港馨家园福景苑,顺义,470,33150,3室2厅1厨2卫,低楼层 (共18层),141.78,平层,105.47,板楼,南 北,钢混结构,毛坯,两梯两户,集中供暖,有,70年,2019/3/26,商品房,2016/9/20,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京丰台广安﹒康馨家园,74,广安﹒康馨家园,丰台,336,43808,2室1厅1厨1卫,高楼层 (共34层),76.7,平层,55.85,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019/9/4,二类经济适用房,2017/3/10,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京门头沟丽景长安,75,丽景长安,门头沟,696,48160,4室1厅1厨2卫,低楼层 (共11层),144.52,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,集中供暖,有,70年,2019/5/22,商品房,2016/7/6,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京昌平桃园公寓,76,桃园公寓,昌平,388,23684,4室1厅1厨2卫,高楼层 (共7层),163.83,平层,139.55,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,70年,2018/7/31,商品房,2006/4/7,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京门头沟城子二斜井,77,城子二斜井,门头沟,166,39790,1室1厅1厨1卫,中楼层 (共6层),41.72,平层,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,70年,2019/7/12,商品房,2017/1/11,普通住宅,满两年,非共有,暂无数据,已上传房本照片
北京东城本家润园一期,78,本家润园一期,东城,3100,136926,4室1厅1厨2卫,中楼层 (共10层),226.4,平层,188.87,板楼,南 北,钢混结构,精装,一梯两户,自供暖,有,70年,2019/9/17,商品房,2008/7/18,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京昌平北京太阳城,79,北京太阳城,昌平,415,29209,3室2厅1厨2卫,底层 (共6层),142.08,平层,119.64,板楼,南 北,混合结构,精装,一梯两户,集中供暖,有,70年,2018/8/1,商品房,2009/3/17,普通住宅,满五年,共有,无抵押,已上传房本照片
北京房山长阳半岛2号院,80,长阳半岛2号院,房山,450,43903,3室1厅1厨1卫,高楼层 (共18层),102.5,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,70年,2019/3/20,商品房,2013/7/16,普通住宅,满五年,非共有,有抵押 50万元 业主自还,已上传房本照片
北京丰台沸城,81,沸城,丰台,528,42390,2室1厅1厨2卫,高楼层 (共23层),124.56,平层,98.74,板塔结合,南 北,钢混结构,其他,两梯四户,集中供暖,有,70年,2019/1/5,商品房,2009/12/21,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京通州雅丽世居,82,雅丽世居,通州,545,38840,3室1厅1厨2卫,中楼层 (共11层),140.32,平层,109.03,板楼,南 西 北,钢混结构,简装,一梯两户,集中供暖,有,70年,2018/10/9,商品房,2007/9/6,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京东城永铁苑,83,永铁苑,东城,595,69910,2室1厅1厨1卫,顶层 (共22层),85.11,平层,暂无数据,塔楼,西南,混合结构,简装,三梯十二户,集中供暖,有,70年,2019/12/5,商品房,2019/5/10,普通住宅,未满两年,非共有,有抵押 340万元 银行 客户偿还,已上传房本照片
北京朝阳后现代城C区,84,后现代城C区,朝阳,380,59200,1室0厅1厨1卫,低楼层 (共27层),64.19,平层,暂无数据,塔楼,西,钢混结构,简装,三梯十一户,集中供暖,有,70年,2019/11/24,商品房,2007/7/18,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京石景山雍景双庐,85,雍景双庐,石景山,447,49464,2室1厅1厨1卫,低楼层 (共25层),90.37,平层,72.57,塔楼,西南,钢混结构,精装,三梯十户,集中供暖,有,70年,2019/11/15,商品房,2016/5/16,普通住宅,满两年,非共有,无抵押,已上传房本照片
北京海淀金隅美和园,86,金隅美和园,海淀,509,65593,3室1厅1厨1卫,中楼层 (共9层),77.6,平层,68.73,板楼,东 西,钢混结构,精装,一梯两户,集中供暖,无,70年,2019/10/17,限价商品房,2010/7/6,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京房山北潞春家园,87,北潞春家园,房山,229,24688,2室1厅1厨1卫,中楼层 (共6层),92.76,平层,81.66,板楼,南 北,混合结构,简装,一梯两户,自供暖,无,70年,2019/8/8,一类经济适用房,2014/2/27,普通住宅,满五年,非共有,无抵押,已上传房本照片
北京昌平天通苑北一区,88,天通苑北一区,昌平,599,34895,3室1厅1厨1卫,高楼层 (共13层),171.66,复式,148.74,板楼,南 北,钢混结构,精装,一梯三户,集中供暖,有,70年,2017/9/22,私产,2008/11/4,普通住宅,满五年,非共有,无抵押,已上传房本照片
